week_start,year_week,product_id,product_name,category,actual_demand,forecast,forecast_error,ape
2023-01-02,2023-W01,PIPE-001,Copper Pipe 15mm,Pipes,113,111,-2,0.017699115044247787
2023-01-09,2023-W02,PIPE-001,Copper Pipe 15mm,Pipes,125,119,-6,0.048
2023-01-16,2023-W03,PIPE-001,Copper Pipe 15mm,Pipes,127,147,20,0.15748031496062992
2023-01-23,2023-W04,PIPE-001,Copper Pipe 15mm,Pipes,127,144,17,0.13385826771653545
2023-01-30,2023-W05,PIPE-001,Copper Pipe 15mm,Pipes,114,112,-2,0.017543859649122806
2023-02-06,2023-W06,PIPE-001,Copper Pipe 15mm,Pipes,125,111,-14,0.112
2023-02-13,2023-W07,PIPE-001,Copper Pipe 15mm,Pipes,173,199,26,0.15028901734104047
2023-02-20,2023-W08,PIPE-001,Copper Pipe 15mm,Pipes,158,168,10,0.06329113924050633
2023-02-27,2023-W09,PIPE-001,Copper Pipe 15mm,Pipes,157,139,-18,0.11464968152866242
2023-03-06,2023-W10,PIPE-001,Copper Pipe 15mm,Pipes,165,159,-6,0.03636363636363636
2023-03-13,2023-W11,PIPE-001,Copper Pipe 15mm,Pipes,153,173,20,0.13071895424836602
2023-03-20,2023-W12,PIPE-001,Copper Pipe 15mm,Pipes,171,148,-23,0.13450292397660818
2023-03-27,2023-W13,PIPE-001,Copper Pipe 15mm,Pipes,151,152,1,0.006622516556291391
2023-04-03,2023-W14,PIPE-001,Copper Pipe 15mm,Pipes,142,133,-9,0.06338028169014084
2023-04-10,2023-W15,PIPE-001,Copper Pipe 15mm,Pipes,143,144,1,0.006993006993006993
2023-04-17,2023-W16,PIPE-001,Copper Pipe 15mm,Pipes,153,170,17,0.1111111111111111
2023-04-24,2023-W17,PIPE-001,Copper Pipe 15mm,Pipes,148,149,1,0.006756756756756757
2023-05-01,2023-W18,PIPE-001,Copper Pipe 15mm,Pipes,161,173,12,0.07453416149068323
2023-05-08,2023-W19,PIPE-001,Copper Pipe 15mm,Pipes,119,125,6,0.05042016806722689
2023-05-15,2023-W20,PIPE-001,Copper Pipe 15mm,Pipes,167,195,28,0.16766467065868262
2023-05-22,2023-W21,PIPE-001,Copper Pipe 15mm,Pipes,153,150,-3,0.0196078431372549
2023-05-29,2023-W22,PIPE-001,Copper Pipe 15mm,Pipes,144,149,5,0.034722222222222224
2023-06-05,2023-W23,PIPE-001,Copper Pipe 15mm,Pipes,141,133,-8,0.05673758865248227
2023-06-12,2023-W24,PIPE-001,Copper Pipe 15mm,Pipes,141,164,23,0.16312056737588654
2023-06-19,2023-W25,PIPE-001,Copper Pipe 15mm,Pipes,158,176,18,0.11392405063291139
2023-06-26,2023-W26,PIPE-001,Copper Pipe 15mm,Pipes,164,146,-18,0.10975609756097561
2023-07-03,2023-W27,PIPE-001,Copper Pipe 15mm,Pipes,133,127,-6,0.045112781954887216
2023-07-10,2023-W28,PIPE-001,Copper Pipe 15mm,Pipes,144,161,17,0.11805555555555555
2023-07-17,2023-W29,PIPE-001,Copper Pipe 15mm,Pipes,136,120,-16,0.11764705882352941
2023-07-24,2023-W30,PIPE-001,Copper Pipe 15mm,Pipes,135,157,22,0.16296296296296298
2023-07-31,2023-W31,PIPE-001,Copper Pipe 15mm,Pipes,129,112,-17,0.13178294573643412
2023-08-07,2023-W32,PIPE-001,Copper Pipe 15mm,Pipes,119,107,-12,0.10084033613445378
2023-08-14,2023-W33,PIPE-001,Copper Pipe 15mm,Pipes,115,111,-4,0.034782608695652174
2023-08-21,2023-W34,PIPE-001,Copper Pipe 15mm,Pipes,116,109,-7,0.0603448275862069
2023-08-28,2023-W35,PIPE-001,Copper Pipe 15mm,Pipes,124,122,-2,0.016129032258064516
2023-09-04,2023-W36,PIPE-001,Copper Pipe 15mm,Pipes,90,105,15,0.16666666666666666
2023-09-11,2023-W37,PIPE-001,Copper Pipe 15mm,Pipes,114,107,-7,0.06140350877192982
2023-09-18,2023-W38,PIPE-001,Copper Pipe 15mm,Pipes,110,96,-14,0.12727272727272726
2023-09-25,2023-W39,PIPE-001,Copper Pipe 15mm,Pipes,83,76,-7,0.08433734939759036
2023-10-02,2023-W40,PIPE-001,Copper Pipe 15mm,Pipes,98,114,16,0.16326530612244897
2023-10-09,2023-W41,PIPE-001,Copper Pipe 15mm,Pipes,86,78,-8,0.09302325581395349
2023-10-16,2023-W42,PIPE-001,Copper Pipe 15mm,Pipes,97,91,-6,0.061855670103092786
2023-10-23,2023-W43,PIPE-001,Copper Pipe 15mm,Pipes,111,105,-6,0.05405405405405406
2023-10-30,2023-W44,PIPE-001,Copper Pipe 15mm,Pipes,87,80,-7,0.08045977011494253
2023-11-06,2023-W45,PIPE-001,Copper Pipe 15mm,Pipes,99,87,-12,0.12121212121212122
2023-11-13,2023-W46,PIPE-001,Copper Pipe 15mm,Pipes,95,81,-14,0.14736842105263157
2023-11-20,2023-W47,PIPE-001,Copper Pipe 15mm,Pipes,100,110,10,0.1
2023-11-27,2023-W48,PIPE-001,Copper Pipe 15mm,Pipes,107,119,12,0.11214953271028037
