reading_id,machine_id,machine_name,department,install_year,age_years,reading_date,pressure_bar,temperature_c,vibration_mm_s,oil_viscosity,cycle_count,maintenance_score,failure_occurred,priority
RD-20000,MCH-001,Pipe Bending Line A,Production,2018,6,2024-06-05,132.69,68.11,3.33,46.67,121359,24,False,LOW
RD-20001,MCH-002,Hydraulic Press #1,Production,2015,9,2023-08-01,122.58,94.17,5.431,63.87,96068,50,False,MEDIUM
RD-20002,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-06-01,91.15,88.66,3.692,48.64,34548,28,False,LOW
RD-20003,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-12-17,125.21,94.52,3.872,53.13,45200,27,False,LOW
RD-20004,MCH-005,Quality Test Bench,QA,2017,7,2023-10-07,125.24,51.12,0.706,43.13,91521,28,False,LOW
RD-20005,MCH-006,Packaging Unit B,Logistics,2016,8,2023-12-25,169.85,54.56,6.579,40.46,28785,44,False,MEDIUM
RD-20006,MCH-007,Hydraulic Press #2,Production,2014,10,2024-09-17,84.66,57.82,7.234,53.33,62648,61,False,MEDIUM
RD-20007,MCH-008,Welding Station Alpha,Production,2021,3,2024-12-01,139.01,86.35,5.145,39.88,24132,14,False,LOW
RD-20008,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-03-05,125.11,74.8,2.978,57.51,74576,36,True,LOW
RD-20009,MCH-010,Conveyor System Main,Logistics,2016,8,2024-09-05,120.46,67.64,12.957,51.55,36720,95,True,HIGH
RD-20010,MCH-001,Pipe Bending Line A,Production,2018,6,2023-06-17,111.4,57.26,1.013,38.41,60522,24,True,LOW
RD-20011,MCH-002,Hydraulic Press #1,Production,2015,9,2024-07-15,145.64,82.42,0.392,51.58,172788,36,False,LOW
RD-20012,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-03-22,119.7,42.06,1.644,51.91,95996,20,False,LOW
RD-20013,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-08-28,103.69,78.51,4.287,48.78,55080,16,False,LOW
RD-20014,MCH-005,Quality Test Bench,QA,2017,7,2023-10-25,154.68,88.17,3.743,30.94,122967,31,False,LOW
RD-20015,MCH-006,Packaging Unit B,Logistics,2016,8,2023-02-28,105.31,86.96,3.653,39.91,108258,34,False,LOW
RD-20016,MCH-007,Hydraulic Press #2,Production,2014,10,2024-12-28,134.86,81.83,1.741,47.63,171544,36,True,LOW
RD-20017,MCH-008,Welding Station Alpha,Production,2021,3,2024-06-21,129.31,62.51,2.287,52.89,21400,12,False,LOW
RD-20018,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-08-24,111.02,84.4,3.917,51.32,20104,36,False,LOW
RD-20019,MCH-010,Conveyor System Main,Logistics,2016,8,2023-07-22,122.67,72.56,3.043,54.95,87462,32,False,LOW
RD-20020,MCH-001,Pipe Bending Line A,Production,2018,6,2024-12-25,121.87,65.78,2.764,53.88,17388,24,False,LOW
RD-20021,MCH-002,Hydraulic Press #1,Production,2015,9,2024-03-19,122.4,84.57,4.8,49.66,91612,36,False,LOW
