month,category,actual_demand,forecast,accuracy_pct
2023-01,Fittings,2044,2040,99.8
2023-01,Pipes,1145,1163,98.42999999999999
2023-01,Seals,1913,1997,95.61
2023-01,Valves,2385,2414,98.78
2023-02,Fittings,1784,1860,95.74000000000001
2023-02,Pipes,1115,1104,99.00999999999999
2023-02,Seals,1700,1736,97.88
2023-02,Valves,2153,2219,96.93
2023-03,Fittings,2132,2134,99.91
2023-03,Pipes,1183,1156,97.72
2023-03,Seals,1925,2056,93.19
2023-03,Valves,2499,2597,96.08
2023-04,Fittings,2153,2092,97.17
2023-04,Pipes,1168,1168,100.0
2023-04,Seals,1874,1907,98.24000000000001
2023-04,Valves,2396,2402,99.75
2023-05,Fittings,2425,2378,98.06
2023-05,Pipes,1449,1466,98.83
2023-05,Seals,2459,2543,96.58
2023-05,Valves,2913,2887,99.11
2023-06,Fittings,1964,1970,99.69
2023-06,Pipes,1206,1225,98.42
2023-06,Seals,1857,1861,99.78
2023-06,Valves,2338,2275,97.31
2023-07,Fittings,2222,2217,99.77000000000001
2023-07,Pipes,1300,1290,99.22999999999999
2023-07,Seals,2063,2072,99.56
2023-07,Valves,2627,2526,96.16
2023-08,Fittings,1509,1400,92.78
2023-08,Pipes,952,959,99.26
2023-08,Seals,1448,1396,96.41
2023-08,Valves,1653,1682,98.25
2023-09,Fittings,1331,1381,96.24000000000001
2023-09,Pipes,823,819,99.51
2023-09,Seals,1309,1370,95.34
2023-09,Valves,1597,1588,99.44
2023-10,Fittings,1514,1558,97.09
2023-10,Pipes,973,967,99.38
2023-10,Seals,1626,1642,99.02
2023-10,Valves,2016,2153,93.2
2023-11,Fittings,1373,1352,98.47
2023-11,Pipes,886,900,98.42
2023-11,Seals,1382,1362,98.55000000000001
2023-11,Valves,1684,1735,96.97
2023-12,Fittings,1561,1619,96.28
2023-12,Pipes,1005,994,98.91
2023-12,Seals,1517,1507,99.33999999999999
2023-12,Valves,1931,1947,99.17
2024-01,Fittings,2266,2389,94.57
2024-01,Pipes,1452,1385,95.39
2024-01,Seals,2233,2238,99.78
2024-01,Valves,2816,2892,97.3
2024-02,Fittings,1964,1994,98.47
2024-02,Pipes,1347,1348,99.92999999999999
2024-02,Seals,1870,1954,95.50999999999999
2024-02,Valves,2499,2595,96.16
2024-03,Fittings,2146,2325,91.66
2024-03,Pipes,1415,1448,97.67
2024-03,Seals,2132,2123,99.58
2024-03,Valves,2732,2841,96.00999999999999
2024-04,Fittings,2920,2865,98.11999999999999
2024-04,Pipes,1835,1822,99.29
2024-04,Seals,2820,2974,94.54
2024-04,Valves,3479,3411,98.05
2024-05,Fittings,2237,2332,95.75
2024-05,Pipes,1481,1469,99.19
2024-05,Seals,2341,2384,98.16
2024-05,Valves,2866,3093,92.08
2024-06,Fittings,1984,1959,98.74000000000001
2024-06,Pipes,1279,1385,91.71000000000001
2024-06,Seals,2073,2208,93.49
2024-06,Valves,2559,2700,94.49
2024-07,Fittings,2258,2256,99.91
2024-07,Pipes,1543,1624,94.75
2024-07,Seals,2274,2233,98.2
2024-07,Valves,2858,2929,97.52
2024-08,Fittings,1458,1490,97.81
2024-08,Pipes,1094,1093,99.91
2024-08,Seals,1545,1503,97.28
2024-08,Valves,1891,1901,99.47
2024-09,Fittings,1701,1653,97.18
2024-09,Pipes,1184,1177,99.41
2024-09,Seals,1859,1909,97.31
2024-09,Valves,2262,2171,95.98
2024-10,Fittings,1361,1332,97.87
2024-10,Pipes,943,987,95.33
2024-10,Seals,1477,1510,97.77
2024-10,Valves,1723,1682,97.61999999999999
2024-11,Fittings,1391,1473,94.1
2024-11,Pipes,961,1009,95.00999999999999
2024-11,Seals,1557,1572,99.03999999999999
2024-11,Valves,2022,2146,93.87
2024-12,Fittings,1975,1947,98.58
2024-12,Pipes,1462,1501,97.33000000000001
2024-12,Seals,2102,2130,98.67
2024-12,Valves,2720,2813,96.58
