week_start,year_week,product_id,product_name,category,actual_demand,forecast,forecast_error,ape,month
2023-01-02,2023-W01,PIPE-001,Copper Pipe 15mm,Pipes,113,111,-2,0.0176991150442477,2023-01
2023-01-09,2023-W02,PIPE-001,Copper Pipe 15mm,Pipes,125,119,-6,0.048,2023-01
2023-01-16,2023-W03,PIPE-001,Copper Pipe 15mm,Pipes,127,147,20,0.1574803149606299,2023-01
2023-01-23,2023-W04,PIPE-001,Copper Pipe 15mm,Pipes,127,144,17,0.1338582677165354,2023-01
2023-01-30,2023-W05,PIPE-001,Copper Pipe 15mm,Pipes,114,112,-2,0.0175438596491228,2023-01
2023-02-06,2023-W06,PIPE-001,Copper Pipe 15mm,Pipes,125,111,-14,0.112,2023-02
2023-02-13,2023-W07,PIPE-001,Copper Pipe 15mm,Pipes,173,199,26,0.1502890173410404,2023-02
2023-02-20,2023-W08,PIPE-001,Copper Pipe 15mm,Pipes,158,168,10,0.0632911392405063,2023-02
2023-02-27,2023-W09,PIPE-001,Copper Pipe 15mm,Pipes,157,139,-18,0.1146496815286624,2023-02
2023-03-06,2023-W10,PIPE-001,Copper Pipe 15mm,Pipes,165,159,-6,0.0363636363636363,2023-03
2023-03-13,2023-W11,PIPE-001,Copper Pipe 15mm,Pipes,153,173,20,0.130718954248366,2023-03
2023-03-20,2023-W12,PIPE-001,Copper Pipe 15mm,Pipes,171,148,-23,0.1345029239766081,2023-03
2023-03-27,2023-W13,PIPE-001,Copper Pipe 15mm,Pipes,151,152,1,0.0066225165562913,2023-03
2023-04-03,2023-W14,PIPE-001,Copper Pipe 15mm,Pipes,142,133,-9,0.0633802816901408,2023-04
2023-04-10,2023-W15,PIPE-001,Copper Pipe 15mm,Pipes,143,144,1,0.0069930069930069,2023-04
2023-04-17,2023-W16,PIPE-001,Copper Pipe 15mm,Pipes,153,170,17,0.1111111111111111,2023-04
2023-04-24,2023-W17,PIPE-001,Copper Pipe 15mm,Pipes,148,149,1,0.0067567567567567,2023-04
2023-05-01,2023-W18,PIPE-001,Copper Pipe 15mm,Pipes,161,173,12,0.0745341614906832,2023-05
2023-05-08,2023-W19,PIPE-001,Copper Pipe 15mm,Pipes,119,125,6,0.0504201680672268,2023-05
2023-05-15,2023-W20,PIPE-001,Copper Pipe 15mm,Pipes,167,195,28,0.1676646706586826,2023-05
2023-05-22,2023-W21,PIPE-001,Copper Pipe 15mm,Pipes,153,150,-3,0.0196078431372549,2023-05
2023-05-29,2023-W22,PIPE-001,Copper Pipe 15mm,Pipes,144,149,5,0.0347222222222222,2023-05
2023-06-05,2023-W23,PIPE-001,Copper Pipe 15mm,Pipes,141,133,-8,0.0567375886524822,2023-06
2023-06-12,2023-W24,PIPE-001,Copper Pipe 15mm,Pipes,141,164,23,0.1631205673758865,2023-06
2023-06-19,2023-W25,PIPE-001,Copper Pipe 15mm,Pipes,158,176,18,0.1139240506329113,2023-06
2023-06-26,2023-W26,PIPE-001,Copper Pipe 15mm,Pipes,164,146,-18,0.1097560975609756,2023-06
2023-07-03,2023-W27,PIPE-001,Copper Pipe 15mm,Pipes,133,127,-6,0.0451127819548872,2023-07
2023-07-10,2023-W28,PIPE-001,Copper Pipe 15mm,Pipes,144,161,17,0.1180555555555555,2023-07
2023-07-17,2023-W29,PIPE-001,Copper Pipe 15mm,Pipes,136,120,-16,0.1176470588235294,2023-07
2023-07-24,2023-W30,PIPE-001,Copper Pipe 15mm,Pipes,135,157,22,0.1629629629629629,2023-07
2023-07-31,2023-W31,PIPE-001,Copper Pipe 15mm,Pipes,129,112,-17,0.1317829457364341,2023-07
2023-08-07,2023-W32,PIPE-001,Copper Pipe 15mm,Pipes,119,107,-12,0.1008403361344537,2023-08
2023-08-14,2023-W33,PIPE-001,Copper Pipe 15mm,Pipes,115,111,-4,0.0347826086956521,2023-08
2023-08-21,2023-W34,PIPE-001,Copper Pipe 15mm,Pipes,116,109,-7,0.0603448275862069,2023-08
2023-08-28,2023-W35,PIPE-001,Copper Pipe 15mm,Pipes,124,122,-2,0.0161290322580645,2023-08
2023-09-04,2023-W36,PIPE-001,Copper Pipe 15mm,Pipes,90,105,15,0.1666666666666666,2023-09
2023-09-11,2023-W37,PIPE-001,Copper Pipe 15mm,Pipes,114,107,-7,0.0614035087719298,2023-09
2023-09-18,2023-W38,PIPE-001,Copper Pipe 15mm,Pipes,110,96,-14,0.1272727272727272,2023-09
2023-09-25,2023-W39,PIPE-001,Copper Pipe 15mm,Pipes,83,76,-7,0.0843373493975903,2023-09
2023-10-02,2023-W40,PIPE-001,Copper Pipe 15mm,Pipes,98,114,16,0.1632653061224489,2023-10
2023-10-09,2023-W41,PIPE-001,Copper Pipe 15mm,Pipes,86,78,-8,0.0930232558139534,2023-10
2023-10-16,2023-W42,PIPE-001,Copper Pipe 15mm,Pipes,97,91,-6,0.0618556701030927,2023-10
2023-10-23,2023-W43,PIPE-001,Copper Pipe 15mm,Pipes,111,105,-6,0.054054054054054,2023-10
2023-10-30,2023-W44,PIPE-001,Copper Pipe 15mm,Pipes,87,80,-7,0.0804597701149425,2023-10
2023-11-06,2023-W45,PIPE-001,Copper Pipe 15mm,Pipes,99,87,-12,0.1212121212121212,2023-11
2023-11-13,2023-W46,PIPE-001,Copper Pipe 15mm,Pipes,95,81,-14,0.1473684210526315,2023-11
2023-11-20,2023-W47,PIPE-001,Copper Pipe 15mm,Pipes,100,110,10,0.1,2023-11
2023-11-27,2023-W48,PIPE-001,Copper Pipe 15mm,Pipes,107,119,12,0.1121495327102803,2023-11
2023-12-04,2023-W49,PIPE-001,Copper Pipe 15mm,Pipes,94,84,-10,0.1063829787234042,2023-12
2023-12-11,2023-W50,PIPE-001,Copper Pipe 15mm,Pipes,121,132,11,0.0909090909090909,2023-12
2023-12-18,2023-W51,PIPE-001,Copper Pipe 15mm,Pipes,137,116,-21,0.1532846715328467,2023-12
2023-12-25,2023-W52,PIPE-001,Copper Pipe 15mm,Pipes,130,150,20,0.1538461538461538,2023-12
2024-01-01,2024-W00,PIPE-001,Copper Pipe 15mm,Pipes,132,129,-3,0.0227272727272727,2024-01
2024-01-08,2024-W01,PIPE-001,Copper Pipe 15mm,Pipes,126,107,-19,0.1507936507936507,2024-01
2024-01-15,2024-W02,PIPE-001,Copper Pipe 15mm,Pipes,157,176,19,0.1210191082802547,2024-01
2024-01-22,2024-W03,PIPE-001,Copper Pipe 15mm,Pipes,134,152,18,0.1343283582089552,2024-01
2024-01-29,2024-W04,PIPE-001,Copper Pipe 15mm,Pipes,166,145,-21,0.1265060240963855,2024-01
2024-02-05,2024-W05,PIPE-001,Copper Pipe 15mm,Pipes,149,150,1,0.0067114093959731,2024-02
2024-02-12,2024-W06,PIPE-001,Copper Pipe 15mm,Pipes,146,139,-7,0.047945205479452,2024-02
2024-02-19,2024-W07,PIPE-001,Copper Pipe 15mm,Pipes,136,134,-2,0.0147058823529411,2024-02
2024-02-26,2024-W08,PIPE-001,Copper Pipe 15mm,Pipes,166,162,-4,0.0240963855421686,2024-02
2024-03-04,2024-W09,PIPE-001,Copper Pipe 15mm,Pipes,168,197,29,0.1726190476190476,2024-03
2024-03-11,2024-W10,PIPE-001,Copper Pipe 15mm,Pipes,166,176,10,0.0602409638554216,2024-03
2024-03-18,2024-W11,PIPE-001,Copper Pipe 15mm,Pipes,192,169,-23,0.1197916666666666,2024-03
2024-03-25,2024-W12,PIPE-001,Copper Pipe 15mm,Pipes,170,199,29,0.1705882352941176,2024-03
2024-04-01,2024-W13,PIPE-001,Copper Pipe 15mm,Pipes,190,201,11,0.0578947368421052,2024-04
