month,supplier_id,orders,on_time_rate,defect_rate,spend_eur
2023-01,SUP-001,7,0.8571,0.0139,106759.64
2023-01,SUP-002,6,0.6667,0.0396,40859.39
2023-01,SUP-003,6,1.0,0.0173,64400.09
2023-01,SUP-004,9,0.6667,0.1113,125231.38
2023-01,SUP-005,6,1.0,0.0395,63245.04
2023-01,SUP-006,5,0.8,0.021,50923.03
2023-01,SUP-007,5,0.6,0.0633,67306.28
2023-01,SUP-008,6,1.0,0.0454,64430.58
2023-02,SUP-001,6,1.0,0.0151,126599.11
2023-02,SUP-002,5,0.6,0.0588,78871.93
2023-02,SUP-003,4,1.0,0.0221,29260.63
2023-02,SUP-004,5,0.8,0.0759,44441.06
2023-02,SUP-005,9,0.6667,0.0527,167293.35
2023-02,SUP-006,9,0.8889,0.0218,111460.7
2023-02,SUP-007,4,0.5,0.1165,23542.54
2023-02,SUP-008,6,0.8333,0.0595,87042.03
2023-03,SUP-001,6,1.0,0.018,70192.21
2023-03,SUP-002,9,0.7778,0.0414,134993.4
2023-03,SUP-003,8,1.0,0.0188,108270.0
2023-03,SUP-004,6,0.5,0.1254,77072.42
2023-03,SUP-005,9,0.5556,0.0429,65844.34
2023-03,SUP-006,6,1.0,0.0233,118528.95
2023-03,SUP-007,3,1.0,0.0732,52790.04
2023-03,SUP-008,3,0.0,0.0583,56026.65
2023-04,SUP-001,3,1.0,0.0189,29059.89
2023-04,SUP-002,11,0.7273,0.0373,132861.61
2023-04,SUP-003,5,1.0,0.0125,80010.07
2023-04,SUP-004,7,0.8571,0.1491,50749.35
2023-04,SUP-005,2,1.0,0.0826,25650.7
2023-04,SUP-006,5,0.8,0.0068,53261.51
2023-04,SUP-007,9,0.4444,0.0868,108044.74
2023-04,SUP-008,9,0.7778,0.0316,134126.03
2023-05,SUP-001,3,1.0,0.0095,8489.15
2023-05,SUP-002,8,0.625,0.0516,125640.69
2023-05,SUP-003,10,0.9,0.025,119921.91
2023-05,SUP-004,7,0.7143,0.1164,62673.41
2023-05,SUP-005,4,0.75,0.0458,50361.48
2023-05,SUP-006,2,1.0,0.0253,19767.75
2023-05,SUP-007,7,0.2857,0.089,97589.38
